"Epoch (UTC)",""
2013-02-14T01:48:34.703Z,0.45755
2013-02-14T01:48:45.559Z,0.44833
2013-02-14T01:48:56.415Z,0.70865
2013-02-14T01:49:07.271Z,0.59572
2013-02-14T01:49:18.127Z,0.48319
2013-02-14T01:49:28.982Z,0.55555
2013-02-14T01:49:39.838Z,0.44904
2013-02-14T01:49:50.694Z,0.38880
2013-02-14T01:50:01.549Z,0.36125
2013-02-14T01:50:12.405Z,0.40789
2013-02-14T01:50:23.261Z,0.41346
2013-02-14T01:50:34.117Z,0.16336
2013-02-14T01:50:44.972Z,0.47079
2013-02-14T01:50:55.828Z,0.31596
2013-02-14T01:51:06.684Z,0.47921
2013-02-14T01:51:17.540Z,0.45163
2013-02-14T01:51:28.395Z,0.23337
2013-02-14T01:51:39.251Z,0.37052
2013-02-14T01:51:50.107Z,0.14198
2013-02-14T01:52:00.963Z,0.34865
2013-02-14T01:52:11.818Z,0.29835
2013-02-14T01:52:22.674Z,0.47421
2013-02-14T01:52:33.530Z,0.35348
2013-02-14T01:52:44.385Z,0.31595
2013-02-14T01:52:55.241Z,0.31864
2013-02-14T01:53:06.097Z,0.14951
2013-02-14T01:53:16.953Z,0.17098
2013-02-14T01:53:27.809Z,0.38889
2013-02-14T01:53:38.664Z,0.33492
2013-02-14T01:53:49.520Z,0.26274
2013-02-14T01:54:00.376Z,0.36136
2013-02-14T01:54:11.231Z,0.45715
2013-02-14T01:54:22.087Z,0.18965
2013-02-14T01:54:32.943Z,0.27301
2013-02-14T01:54:43.799Z,0.14108
2013-02-14T01:54:54.654Z,0.19773
2013-02-14T01:55:05.510Z,0.18876
2013-02-14T01:55:16.366Z,0.40289
2013-02-14T01:55:27.222Z,0.12062
